region_name,country_name,Avg Recorded Value,P95 Recorded Value
Central Europe,Austria,81.945296075609,166.73676702711316
Central Europe,Croatia,79.74585596720378,195.19602648417154
Central Europe,Czech Republic,79.09515444437663,177.4447987874349
Central Europe,Germany,80.0958444595337,172.50162010192872
Central Europe,Hungary,79.43401463826497,157.6461098988851
Central Europe,Poland,76.11073017120361,168.85382588704428
Eastern Europe,Belarus,74.53653271993001,163.64577356974283
Eastern Europe,Greece,95.07001558939616,202.54931640625
Eastern Europe,Russia,78.03715674082439,178.03932666778564
Eastern Europe,Serbia,70.62741343180339,125.89026705423991
Eastern Europe,Turkey,80.61919291814168,169.38633473714194
Unknown,Unknown,,
Western Europe,Belgium,77.5215965906779,177.44330088297525
Western Europe,Denmark,76.57482020060222,187.23099199930826
Western Europe,Finland,74.28438981374104,149.75980758666992
Western Europe,France,77.23893197377522,163.14790386623807
Western Europe,Italy,74.81895271937053,160.7235336303711
Western Europe,Netherlands,,
Western Europe,Spain,75.90826161702473,168.05137316385904
Western Europe,Sweden,76.15959564844768,149.36738300323486
Western Europe,United Kingdom,79.11582883199056,190.9634977976481
